,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all_year
0,"('外務省', 509.2769255982471)","('イラク', 480.70907928766275)","('年金', 538.2573202799049)","('地域', 436.67450397136156)","('教育', 516.3504399043095)","('地域', 431.19207459029826)","('道路', 389.87674517239475)","('地域', 315.56651997610953)","('民主党', 360.6522657487124)","('復興', 519.3767454785527)","('消費税', 452.2679270228211)","('地域', 469.34174522025194)","('地域', 606.2837844373787)","('地域', 482.032610224126)","('tpp', 424.1005084052303)","('地域', 444.54395768968226)","('地域', 482.9899977173006)","('地域', 406.80421552323025)","('感染', 387.60993914837553)","('ワクチン', 528.5710287239004)","('地域', 238.36338397947043)","('地域', 8651.417505044208)"
1,"('地域', 447.4322227342244)","('アメリカ', 448.68044874478346)","('地域', 427.12863490632077)","('会社', 399.72535740687806)","('地域', 470.66059465250675)","('アメリカ', 357.6643934889801)","('地方', 345.63448674279294)","('アメリカ', 272.4110205791126)","('地域', 299.31379671127917)","('地域', 462.6771456585428)","('年金', 327.2405868404382)","('企業', 323.9253601888068)","('地方', 392.5982010479661)","('企業', 335.96927876123874)","('地域', 421.2343613099985)","('自治体', 295.83233519933765)","('文書', 439.8655625945002)","('統計', 399.4557582249209)","('地域', 384.0607124509358)","('接種', 513.5645352867845)","('ウクライナ', 237.51427177439112)","('アメリカ', 6217.801977006895)"
2,"('アメリカ', 444.2028638790415)","('地域', 318.2861363774779)","('アメリカ', 425.3132317256957)","('アメリカ', 353.9476152420267)","('地方', 440.9332683701418)","('地方', 349.16733598475406)","('地域', 315.96165924341904)","('雇用', 271.10913326188904)","('地方', 287.22548091813354)","('被災', 361.87192096231036)","('社会保障', 324.2366317961788)","('アメリカ', 279.0898297403485)","('企業', 345.26560614785654)","('地方', 311.1488837859125)","('企業', 334.16716834381623)","('アメリカ', 257.1889789921607)","('自治体', 355.4570376934813)","('自治体', 353.6722803462968)","('自治体', 337.2343249198213)","('自治体', 442.27036360583804)","('ロシア', 231.18132662241905)","('地方', 5960.647499090223)"
3,"('企業', 387.6321646751135)","('自衛隊', 283.44733024843345)","('イラク', 387.1668788067405)","('地方', 315.84610654140715)","('アメリカ', 432.46675725667546)","('民主党', 316.83783646184065)","('アメリカ', 246.56555899998514)","('地方', 268.418313096681)","('政権', 233.5878543091253)","('自治体', 343.0030363566776)","('民主党', 312.6800948942834)","('地方', 272.4265350105304)","('自治体', 326.12724777429275)","('派遣', 307.60270939499776)","('自治体', 308.5521725420438)","('職員', 256.0379238105876)","('企業', 348.38968767912195)","('子供', 346.7360896706373)","('検査', 334.11542901133276)","('地域', 396.31265177681576)","('経済', 223.25076649411298)","('企業', 5853.718506097265)"
4,"('民間', 345.2155080496189)","('企業', 277.8857366631364)","('地方', 345.03633739810897)","('民間', 308.12560580444864)","('子供', 375.24334674850195)","('年金', 306.73076897607865)","('事件', 207.40269241946189)","('企業', 249.22833533445225)","('削減', 227.487394359581)","('民主党', 342.263274340991)","('地域', 309.38853021628523)","('消費税', 249.58998873182293)","('アメリカ', 314.2850513366553)","('アメリカ', 301.74808635375433)","('地方', 300.1525799693266)","('北朝鮮', 251.4599430833115)","('データ', 346.4806261180097)","('企業', 309.4112952976945)","('コロナ', 329.8263998430133)","('コロナ', 382.9643705003663)","('自治体', 204.52685268625623)","('自治体', 5574.26967872977)"
5,"('行政', 320.7603452661232)","('派遣', 266.15140683951546)","('自衛隊', 337.9891415165922)","('企業', 294.31138083552975)","('民主党', 315.99203068561076)","('教育', 300.0114449346065)","('企業', 205.27949959627617)","('経済', 243.89779541704914)","('アメリカ', 224.2153071963631)","('被災地', 342.06295267607965)","('増税', 287.73503230348706)","('復興', 246.07429658512447)","('教育', 305.4229428631675)","('自治体', 276.1630521183966)","('年金', 294.68176075430085)","('文科省', 248.5061097549552)","('財務省', 320.5599425169833)","('厚労省', 240.54855815726282)","('事業者', 282.79737160069965)","('事業者', 282.59685515893375)","('ワクチン', 190.25799721267197)","('子供', 4514.515040969748)"
6,"('外務大臣', 316.84047404961467)","('憲法', 264.3596511768071)","('憲法', 330.50711550274906)","('サービス', 280.85999151404366)","('安全', 307.7712480459424)","('企業', 285.88965393321655)","('民主党', 203.09741860622626)","('民主党', 233.00634180902944)","('中国', 220.67757745816004)","('原発', 336.64357011660115)","('復興', 247.68969691932702)","('自治体', 236.5795551550882)","('研究', 300.63304080000046)","('会長', 266.1952823657833)","('アメリカ', 291.39890443082544)","('医療', 243.59650066228642)","('地方', 310.81719367062567)","('アメリカ', 238.1185260291164)","('企業', 259.0174506649743)","('緊急事態宣言', 279.9717823069842)","('企業', 181.5853670909281)","('教育', 4391.027393119904)"
7,"('経済', 310.09163857517365)","('行政', 261.25022891360936)","('行政', 277.1357139102176)","('障害者', 262.69681028760795)","('学校', 305.1572695936083)","('民間', 276.1558467307466)","('財源', 201.51536108546705)","('消費者', 215.11486744476633)","('マニフェスト', 216.46407561646842)","('震災', 293.2639232487264)","('地方', 223.41224389063058)","('民間', 232.40771068038072)","('医療', 283.4954127782376)","('自衛隊', 263.2508884856155)","('子供', 262.6793966592034)","('企業', 234.87183532587343)","('アメリカ', 303.5638579074509)","('厚生労働省', 237.53515227520373)","('経済', 248.3243122368823)","('医療', 278.40139072102295)","('接種', 172.48571912050917)","('民間', 4227.415030137959)"
8,"('処理', 296.66575935752724)","('基本', 238.03064011490977)","('事件', 276.61368762771434)","('中国', 261.27371727202234)","('企業', 293.76112631147447)","('活動', 263.7388883558914)","('自治体', 186.87243739014255)","('年金', 204.2412576306712)","('官房長官', 211.89191827796984)","('避難', 281.5355040894275)","('自治体', 215.88207951885775)","('皆様', 227.41947372943437)","('会長', 276.5713905909579)","('農業', 249.37036417397607)","('消費税', 241.7740036979608)","('農業', 225.10829657113163)","('事業者', 296.9041121701791)","('皆様', 237.29822454168885)","('新型コロナウイルス', 241.89085852775807)","('総務省', 274.44811114140083)","('コロナ', 161.40862993516748)","('環境', 4207.701171006057)"
9,"('基本', 292.94763884505915)","('事件', 234.3026838762165)","('教育', 264.61449910350257)","('年金', 255.1278938563541)","('民間', 288.73202871188573)","('会社', 248.36743384239236)","('一般財源', 178.5727273908572)","('行政', 194.66492611947942)","('財源', 207.66068559100094)","('災害', 281.19552537977296)","('協議', 207.5114098583125)","('原発', 221.05267606124295)","('農業', 267.9467763352527)","('可能性', 242.15479264149775)","('事業者', 238.93079102878397)","('事業者', 222.8163156369639)","('管理', 296.15499504774624)","('数字', 230.64724912154406)","('医療', 227.07255339436972)","('感染', 273.5821330575028)","('安全保障', 157.83761797312644)","('経済', 4196.577218690544)"
10,"('事件', 292.1515821266773)","('民間', 232.2334823621929)","('企業', 254.16647377074707)","('民営化', 252.24764004868672)","('事件', 281.9315835515679)","('厚生労働省', 248.23596762446027)","('職員', 178.27254191095574)","('外務大臣', 171.91643842030933)","('沖縄', 207.11018503425106)","('財源', 275.1954961598707)","('財源', 194.63843580009)","('安全', 220.91499047445689)","('憲法', 265.86549783814723)","('業務', 241.80954122040322)","('導入', 233.69725927581544)","('地方', 222.7571306243857)","('tpp', 290.66091980595)","('大学', 227.93768979496946)","('皆様', 226.93832771673817)","('企業', 258.7397679354624)","('皆様', 154.10510124053846)","('行政', 4163.03579702555)"
11,"('会社', 287.43779523137204)","('子供', 229.18787595969752)","('人たち', 248.6662628487535)","('厚生労働省', 244.87568180348885)","('長官', 275.9614930961698)","('子供', 242.5706327836102)","('数字', 178.24333482185904)","('数字', 170.82256268142612)","('政治', 205.75565587562943)","('地方', 273.7655978811726)","('企業', 194.6251726032409)","('事業者', 218.72475336235937)","('女性', 262.2208898123636)","('集団的自衛権', 240.11661264035297)","('経済', 232.85498689966738)","('強化', 217.81259774805855)","('皆様', 286.4172216968374)","('地方', 227.49819735424708)","('申請', 226.04280580104694)","('デジタル', 254.64443689747506)","('子供', 153.90704649874874)","('数字', 4088.92834398989)"
